年,月日,気温
1876,6月1日,17
1876,6月2日,19.1
1876,6月3日,17.9
1876,6月4日,18.8
1876,6月5日,19.1
1876,6月6日,20.8
1876,6月7日,16.7
1876,6月8日,18.7
1876,6月9日,16.8
1876,6月10日,18.2
1876,6月11日,18.7
1876,6月12日,17.7
1876,6月13日,16.5
1876,6月14日,18.3
1876,6月15日,19.7
1876,6月16日,18.2
1876,6月17日,19.7
1876,6月18日,21.3
1876,6月19日,19
1876,6月20日,20.6
1876,6月21日,20.9
1876,6月22日,18.4
1876,6月23日,18.3
1876,6月24日,19
1876,6月25日,18.4
1876,6月26日,14.4
1876,6月27日,16.4
1876,6月28日,19.1
1876,6月29日,20.2
1876,6月30日,15.8
1876,7月1日,19.9
1876,7月2日,19.8
1876,7月3日,18.6
1876,7月4日,17.6
1876,7月5日,20.3
1876,7月6日,24.5
1876,7月7日,22.8
1876,7月8日,22.6
1876,7月9日,22.9
1876,7月10日,24
1876,7月11日,24.9
1876,7月12日,25.4
1876,7月13日,25.3
1876,7月14日,25.6
1876,7月15日,25.9
1876,7月16日,25.8
1876,7月17日,24.2
1876,7月18日,25.5
1876,7月19日,25.7
1876,7月20日,26.2
1876,7月21日,25.4
1876,7月22日,25.1
1876,7月23日,26.1
1876,7月24日,26.3
1876,7月25日,26
1876,7月26日,26.1
1876,7月27日,25.6
1876,7月28日,26.3
1876,7月29日,25.9
1876,7月30日,25.9
1876,7月31日,26.2
1876,8月1日,26.5
1876,8月2日,26.3
1876,8月3日,27.4
1876,8月4日,27.7
1876,8月5日,27.1
1876,8月6日,26.7
1876,8月7日,28.2
1876,8月8日,28.9
1876,8月9日,28.8
1876,8月10日,27.3
1876,8月11日,26.9
1876,8月12日,26.7
1876,8月13日,26.3
1876,8月14日,26.3
1876,8月15日,26.9
1876,8月16日,27.2
1876,8月17日,27.9
1876,8月18日,28.8
1876,8月19日,27.4
1876,8月20日,26.4
1876,8月21日,24.4
1876,8月22日,25.7
1876,8月23日,25.3
1876,8月24日,25.3
1876,8月25日,25.4
1876,8月26日,25.1
1876,8月27日,25.4
1876,8月28日,25.9
1876,8月29日,25.9
1876,8月30日,25.4
1876,8月31日,26.5
1876,9月1日,25.9
1876,9月2日,25.8
1876,9月3日,25.8
1876,9月4日,26.3
1876,9月5日,26.6
1876,9月6日,26.8
1876,9月7日,25.8
1876,9月8日,24.7
1876,9月9日,24.7
1876,9月10日,23.7
1876,9月11日,25.6
1876,9月12日,25.8
1876,9月13日,26.8
1876,9月14日,25.8
1876,9月15日,22.1
1876,9月16日,19.9
1876,9月17日,22.9
1876,9月18日,21.9
1876,9月19日,20.3
1876,9月20日,17.3
1876,9月21日,17.2
1876,9月22日,18.3
1876,9月23日,17.6
1876,9月24日,17.7
1876,9月25日,20.6
1876,9月26日,22.4
1876,9月27日,23
1876,9月28日,NaN
1876,9月29日,19.6
1876,9月30日,14.7
1877,6月1日,18
1877,6月2日,18.9
1877,6月3日,21.8
1877,6月4日,21.4
1877,6月5日,20.4
1877,6月6日,20.9
1877,6月7日,20.2
1877,6月8日,20.2
1877,6月9日,22
1877,6月10日,20.6
1877,6月11日,17.9
1877,6月12日,21.6
1877,6月13日,20
1877,6月14日,18.7
1877,6月15日,20.1
1877,6月16日,19.9
1877,6月17日,20.3
1877,6月18日,20.4
1877,6月19日,21.1
1877,6月20日,23.1
1877,6月21日,24.7
1877,6月22日,24.7
1877,6月23日,24.9
1877,6月24日,24.9
1877,6月25日,24.7
1877,6月26日,26.4
1877,6月27日,25.6
1877,6月28日,26.4
1877,6月29日,25.6
1877,6月30日,24.4
1877,7月1日,26.7
1877,7月2日,27.6
1877,7月3日,27.2
1877,7月4日,28.6
1877,7月5日,28.1
1877,7月6日,21.8
1877,7月7日,18.2
1877,7月8日,22.9
1877,7月9日,26.8
1877,7月10日,26.7
1877,7月11日,23.6
1877,7月12日,26.4
1877,7月13日,28.1
1877,7月14日,27.9
1877,7月15日,27.3
1877,7月16日,27.1
1877,7月17日,26.9
1877,7月18日,26.3
1877,7月19日,27.6
1877,7月20日,28.2
1877,7月21日,28.5
1877,7月22日,26.9
1877,7月23日,27
1877,7月24日,26.9
1877,7月25日,27.8
1877,7月26日,24.8
1877,7月27日,25.9
1877,7月28日,27.4
1877,7月29日,27.5
1877,7月30日,27.4
1877,7月31日,26.6
1877,8月1日,26.3
1877,8月2日,26.3
1877,8月3日,23.2
1877,8月4日,24.4
1877,8月5日,25.9
1877,8月6日,25.8
1877,8月7日,26.6
1877,8月8日,25.9
1877,8月9日,26.2
1877,8月10日,26.3
1877,8月11日,25.1
1877,8月12日,26.3
1877,8月13日,27.3
1877,8月14日,27.4
1877,8月15日,26
1877,8月16日,25.7
1877,8月17日,26.3
1877,8月18日,25.7
1877,8月19日,26.1
1877,8月20日,26.1
1877,8月21日,23.6
1877,8月22日,25.3
1877,8月23日,26.7
1877,8月24日,26.9
1877,8月25日,27.9
1877,8月26日,27.8
1877,8月27日,29.4
1877,8月28日,26.4
1877,8月29日,23.6
1877,8月30日,22.1
1877,8月31日,23.3
1877,9月1日,25.9
1877,9月2日,24.9
1877,9月3日,22.8
1877,9月4日,22
1877,9月5日,23.2
1877,9月6日,20.5
1877,9月7日,20.2
1877,9月8日,20.7
1877,9月9日,19.4
1877,9月10日,22.9
1877,9月11日,21.5
1877,9月12日,21.6
1877,9月13日,23.1
1877,9月14日,22.5
1877,9月15日,23.6
1877,9月16日,23.6
1877,9月17日,22
1877,9月18日,21.4
1877,9月19日,21.6
1877,9月20日,19.6
1877,9月21日,19.1
1877,9月22日,20.2
1877,9月23日,21.2
1877,9月24日,22.1
1877,9月25日,19.6
1877,9月26日,17.9
1877,9月27日,20.4
1877,9月28日,17.9
1877,9月29日,18.4
1877,9月30日,18.5
1878,6月1日,11.1
1878,6月2日,11.8
1878,6月3日,14.9
1878,6月4日,17.9
1878,6月5日,20.7
1878,6月6日,18.4
1878,6月7日,19.1
1878,6月8日,18.2
1878,6月9日,18.3
1878,6月10日,19.3
1878,6月11日,21
1878,6月12日,20.6
1878,6月13日,19.4
1878,6月14日,20.7
1878,6月15日,21.5
1878,6月16日,19.3
1878,6月17日,22
1878,6月18日,20.6
1878,6月19日,20.9
1878,6月20日,21.9
1878,6月21日,22.3
1878,6月22日,23.3
1878,6月23日,23.7
1878,6月24日,23.9
1878,6月25日,20.8
1878,6月26日,20.9
1878,6月27日,21.1
1878,6月28日,21.1
1878,6月29日,23.4
1878,6月30日,23
1878,7月1日,23.3
1878,7月2日,22.4
1878,7月3日,24.8
1878,7月4日,24.3
1878,7月5日,23.9
1878,7月6日,25.7
1878,7月7日,23.1
1878,7月8日,24.9
1878,7月9日,24.4
1878,7月10日,26.1
1878,7月11日,24.6
1878,7月12日,23.6
1878,7月13日,23.9
1878,7月14日,26.3
1878,7月15日,26
1878,7月16日,25.8
1878,7月17日,26.8
1878,7月18日,28.6
1878,7月19日,27.3
1878,7月20日,28.2
1878,7月21日,27.6
1878,7月22日,25.7
1878,7月23日,24.4
1878,7月24日,26.1
1878,7月25日,25.6
1878,7月26日,27.4
1878,7月27日,28.2
1878,7月28日,28.5
1878,7月29日,29.2
1878,7月30日,29.2
1878,7月31日,29.6
1878,8月1日,27.1
1878,8月2日,22.9
1878,8月3日,25.1
1878,8月4日,26.8
1878,8月5日,24.8
1878,8月6日,27.5
1878,8月7日,22.7
1878,8月8日,21.4
1878,8月9日,22
1878,8月10日,22.3
1878,8月11日,20.5
1878,8月12日,20.8
1878,8月13日,24.2
1878,8月14日,24.4
1878,8月15日,22.7
1878,8月16日,21.8
1878,8月17日,24.7
1878,8月18日,25
1878,8月19日,25.3
1878,8月20日,25.5
1878,8月21日,25.4
1878,8月22日,26.2
1878,8月23日,26.1
1878,8月24日,26.4
1878,8月25日,27.3
1878,8月26日,26.6
1878,8月27日,24.7
1878,8月28日,25.9
1878,8月29日,27
1878,8月30日,26.4
1878,8月31日,23.8
1878,9月1日,21.4
1878,9月2日,20.4
1878,9月3日,21.6
1878,9月4日,19.3
1878,9月5日,20.7
1878,9月6日,23.6
1878,9月7日,24.3
1878,9月8日,24.3
1878,9月9日,23
1878,9月10日,24.3
1878,9月11日,25.2
1878,9月12日,25.7
1878,9月13日,24.9
1878,9月14日,25.3
1878,9月15日,24.2
1878,9月16日,23.4
1878,9月17日,23
1878,9月18日,22.7
1878,9月19日,23.9
1878,9月20日,24.3
1878,9月21日,26.9
1878,9月22日,26.3
1878,9月23日,26.9
1878,9月24日,24.4
1878,9月25日,20.9
1878,9月26日,21.7
1878,9月27日,17.7
1878,9月28日,17.3
1878,9月29日,17.2
1878,9月30日,19.7
1879,6月1日,18.3
1879,6月2日,15.8
1879,6月3日,16.4
1879,6月4日,17.6
1879,6月5日,21.6
1879,6月6日,20.5
1879,6月7日,22.9
1879,6月8日,23.4
1879,6月9日,19.2
1879,6月10日,20
1879,6月11日,19.9
1879,6月12日,20.8
1879,6月13日,20.5
1879,6月14日,22.2
1879,6月15日,20.6
1879,6月16日,21.9
1879,6月17日,23.3
1879,6月18日,23.3
1879,6月19日,24.1
1879,6月20日,24.1
1879,6月21日,22.7
1879,6月22日,22.4
1879,6月23日,21.5
1879,6月24日,23.1
1879,6月25日,NaN
1879,6月26日,24.8
1879,6月27日,21.1
1879,6月28日,22
1879,6月29日,23.1
1879,6月30日,24.2
1879,7月1日,25.7
1879,7月2日,27.1
1879,7月3日,26.9
1879,7月4日,27
1879,7月5日,26.3
1879,7月6日,25.7
1879,7月7日,27.7
1879,7月8日,28.2
1879,7月9日,22.5
1879,7月10日,24.7
1879,7月11日,25.4
1879,7月12日,24.4
1879,7月13日,22.6
1879,7月14日,23.4
1879,7月15日,22.8
1879,7月16日,24.1
1879,7月17日,26
1879,7月18日,27.3
1879,7月19日,28.1
1879,7月20日,27.3
1879,7月21日,27.6
1879,7月22日,27.4
1879,7月23日,27
1879,7月24日,27.3
1879,7月25日,27.9
1879,7月26日,28.4
1879,7月27日,26.4
1879,7月28日,26.4
1879,7月29日,26
1879,7月30日,26.2
1879,7月31日,26.8
1879,8月1日,26.7
1879,8月2日,28
1879,8月3日,27.2
1879,8月4日,28.1
1879,8月5日,29.1
1879,8月6日,27.6
1879,8月7日,25.6
1879,8月8日,25.1
1879,8月9日,23.6
1879,8月10日,26.1
1879,8月11日,25.8
1879,8月12日,25.9
1879,8月13日,25.8
1879,8月14日,27.8
1879,8月15日,28.7
1879,8月16日,28.2
1879,8月17日,27.1
1879,8月18日,27.2
1879,8月19日,27.1
1879,8月20日,25.9
1879,8月21日,26.4
1879,8月22日,25.6
1879,8月23日,25.1
1879,8月24日,24.2
1879,8月25日,26.4
1879,8月26日,26.9
1879,8月27日,26.6
1879,8月28日,26.6
1879,8月29日,27.4
1879,8月30日,26.8
1879,8月31日,27.5
1879,9月1日,24.4
1879,9月2日,24.4
1879,9月3日,23.9
1879,9月4日,23.8
1879,9月5日,23.6
1879,9月6日,22.3
1879,9月7日,21.4
1879,9月8日,21.4
1879,9月9日,20.1
1879,9月10日,19.9
1879,9月11日,19.2
1879,9月12日,17.6
1879,9月13日,17.9
1879,9月14日,23.4
1879,9月15日,21.8
1879,9月16日,20.4
1879,9月17日,20.4
1879,9月18日,20.7
1879,9月19日,22.3
1879,9月20日,21.5
1879,9月21日,23.7
1879,9月22日,22.4
1879,9月23日,19.4
1879,9月24日,18.9
1879,9月25日,21.5
1879,9月26日,20.3
1879,9月27日,18.4
1879,9月28日,19.8
1879,9月29日,21.6
1879,9月30日,23.2
1880,6月1日,15.9
1880,6月2日,15.1
1880,6月3日,17.3
1880,6月4日,19.3
1880,6月5日,19.7
1880,6月6日,21.1
1880,6月7日,22.4
1880,6月8日,22.5
1880,6月9日,20.2
1880,6月10日,20.2
1880,6月11日,18.9
1880,6月12日,19.6
1880,6月13日,20.1
1880,6月14日,20.2
1880,6月15日,21.3
1880,6月16日,19.3
1880,6月17日,21.3
1880,6月18日,19.1
1880,6月19日,19.2
1880,6月20日,17.9
1880,6月21日,16.2
1880,6月22日,19.6
1880,6月23日,19.9
1880,6月24日,17.6
1880,6月25日,17.8
1880,6月26日,21.5
1880,6月27日,22.4
1880,6月28日,22.6
1880,6月29日,22.9
1880,6月30日,23.1
1880,7月1日,20.4
1880,7月2日,21.6
1880,7月3日,20.4
1880,7月4日,23.2
1880,7月5日,20.8
1880,7月6日,22.3
1880,7月7日,24.7
1880,7月8日,26.3
1880,7月9日,25.1
1880,7月10日,25.2
1880,7月11日,26
1880,7月12日,25.8
1880,7月13日,24.8
1880,7月14日,23.6
1880,7月15日,25.1
1880,7月16日,23.9
1880,7月17日,23.3
1880,7月18日,23.8
1880,7月19日,24.3
1880,7月20日,23.8
1880,7月21日,22.1
1880,7月22日,22.3
1880,7月23日,24.9
1880,7月24日,25
1880,7月25日,23.9
1880,7月26日,24.7
1880,7月27日,26.4
1880,7月28日,24.6
1880,7月29日,26.7
1880,7月30日,26.9
1880,7月31日,27.7
1880,8月1日,28
1880,8月2日,27.4
1880,8月3日,26.2
1880,8月4日,26.2
1880,8月5日,26.5
1880,8月6日,26.3
1880,8月7日,26.4
1880,8月8日,25.1
1880,8月9日,25.3
1880,8月10日,25.1
1880,8月11日,24.6
1880,8月12日,24.1
1880,8月13日,25.7
1880,8月14日,25.9
1880,8月15日,26.2
1880,8月16日,26.7
1880,8月17日,26.7
1880,8月18日,25.8
1880,8月19日,25
1880,8月20日,25.1
1880,8月21日,25.7
1880,8月22日,25.9
1880,8月23日,26.4
1880,8月24日,27.7
1880,8月25日,26.8
1880,8月26日,27.5
1880,8月27日,22.8
1880,8月28日,23.2
1880,8月29日,22.4
1880,8月30日,22.9
1880,8月31日,20.7
1880,9月1日,21.2
1880,9月2日,21.9
1880,9月3日,21.9
1880,9月4日,23
1880,9月5日,21.2
1880,9月6日,21.3
1880,9月7日,23.9
1880,9月8日,24.3
1880,9月9日,24.2
1880,9月10日,25.3
1880,9月11日,25.5
1880,9月12日,23.3
1880,9月13日,24
1880,9月14日,24.4
1880,9月15日,25.2
1880,9月16日,24.1
1880,9月17日,21.3
1880,9月18日,22
1880,9月19日,23
1880,9月20日,23.6
1880,9月21日,23.4
1880,9月22日,24.2
1880,9月23日,26.8
1880,9月24日,20.1
1880,9月25日,20.5
1880,9月26日,20.6
1880,9月27日,19.4
1880,9月28日,18.9
1880,9月29日,18.9
1880,9月30日,17.7
1881,6月1日,18.1
1881,6月2日,18.2
1881,6月3日,20.8
1881,6月4日,19.7
1881,6月5日,22.1
1881,6月6日,20.1
1881,6月7日,18
1881,6月8日,19.5
1881,6月9日,18.4
1881,6月10日,18.3
1881,6月11日,21.2
1881,6月12日,22.1
1881,6月13日,24.2
1881,6月14日,26.5
1881,6月15日,25.8
1881,6月16日,24.3
1881,6月17日,23.5
1881,6月18日,20
1881,6月19日,21.5
1881,6月20日,19.2
1881,6月21日,21.2
1881,6月22日,23.1
1881,6月23日,23.1
1881,6月24日,23.3
1881,6月25日,21.8
1881,6月26日,20.3
1881,6月27日,17.9
1881,6月28日,20.7
1881,6月29日,23.6
1881,6月30日,23.4
1881,7月1日,22.5
1881,7月2日,23.8
1881,7月3日,25.4
1881,7月4日,22.6
1881,7月5日,19.7
1881,7月6日,17.9
1881,7月7日,18.1
1881,7月8日,21.5
1881,7月9日,23.8
1881,7月10日,23.8
1881,7月11日,25.2
1881,7月12日,24.1
1881,7月13日,19.7
1881,7月14日,22.5
1881,7月15日,25.1
1881,7月16日,24.7
1881,7月17日,25.2
1881,7月18日,25.7
1881,7月19日,24.3
1881,7月20日,22.8
1881,7月21日,24.3
1881,7月22日,24.6
1881,7月23日,25.9
1881,7月24日,26.4
1881,7月25日,24.6
1881,7月26日,25.4
1881,7月27日,26.2
1881,7月28日,26
1881,7月29日,26.6
1881,7月30日,26.8
1881,7月31日,27.4
1881,8月1日,25.5
1881,8月2日,23.8
1881,8月3日,24.6
1881,8月4日,21.6
1881,8月5日,23.8
1881,8月6日,25.3
1881,8月7日,26.4
1881,8月8日,27.3
1881,8月9日,27.4
1881,8月10日,26.7
1881,8月11日,27.4
1881,8月12日,27.9
1881,8月13日,28.1
1881,8月14日,28.1
1881,8月15日,26.2
1881,8月16日,28.4
1881,8月17日,27.3
1881,8月18日,27.5
1881,8月19日,26.9
1881,8月20日,26.8
1881,8月21日,27
1881,8月22日,28.3
1881,8月23日,27.9
1881,8月24日,27.8
1881,8月25日,27.9
1881,8月26日,27.1
1881,8月27日,27.2
1881,8月28日,26.5
1881,8月29日,27
1881,8月30日,27.8
1881,8月31日,26.1
1881,9月1日,26.9
1881,9月2日,28.1
1881,9月3日,29
1881,9月4日,27.9
1881,9月5日,27.4
1881,9月6日,27.5
1881,9月7日,27
1881,9月8日,24.7
1881,9月9日,22.2
1881,9月10日,18.2
1881,9月11日,18.6
1881,9月12日,21.4
1881,9月13日,20.1
1881,9月14日,26.7
1881,9月15日,25.7
1881,9月16日,23.9
1881,9月17日,25.6
1881,9月18日,25.1
1881,9月19日,27.1
1881,9月20日,20.6
1881,9月21日,15.3
1881,9月22日,15.2
1881,9月23日,15.1
1881,9月24日,17.1
1881,9月25日,19.1
1881,9月26日,18.4
1881,9月27日,25.2
1881,9月28日,22.7
1881,9月29日,19.3
1881,9月30日,18.6
1882,6月1日,19.9
1882,6月2日,20.5
1882,6月3日,20.6
1882,6月4日,20.9
1882,6月5日,19.6
1882,6月6日,17.8
1882,6月7日,19.8
1882,6月8日,20.9
1882,6月9日,17.3
1882,6月10日,20.4
1882,6月11日,17.7
1882,6月12日,18.7
1882,6月13日,20.4
1882,6月14日,18.3
1882,6月15日,21.1
1882,6月16日,21.2
1882,6月17日,19.2
1882,6月18日,19.6
1882,6月19日,20.5
1882,6月20日,20.9
1882,6月21日,21.7
1882,6月22日,23
1882,6月23日,24
1882,6月24日,20.4
1882,6月25日,18.4
1882,6月26日,20.8
1882,6月27日,22.4
1882,6月28日,21.2
1882,6月29日,21.4
1882,6月30日,22.2
1882,7月1日,21.2
1882,7月2日,22.8
1882,7月3日,23.6
1882,7月4日,22.2
1882,7月5日,19.5
1882,7月6日,21.5
1882,7月7日,21.7
1882,7月8日,22.6
1882,7月9日,23.8
1882,7月10日,24.4
1882,7月11日,21.7
1882,7月12日,20.1
1882,7月13日,20.7
1882,7月14日,21.7
1882,7月15日,23.3
1882,7月16日,23.7
1882,7月17日,24.4
1882,7月18日,25.2
1882,7月19日,24.6
1882,7月20日,25.6
1882,7月21日,25.7
1882,7月22日,27.3
1882,7月23日,NaN
1882,7月24日,27.3
1882,7月25日,27.3
1882,7月26日,28.1
1882,7月27日,28.3
1882,7月28日,28.1
1882,7月29日,26.4
1882,7月30日,26.9
1882,7月31日,27.1
1882,8月1日,26.8
1882,8月2日,26.5
1882,8月3日,26.3
1882,8月4日,24.8
1882,8月5日,26.6
1882,8月6日,24.4
1882,8月7日,26
1882,8月8日,26.4
1882,8月9日,25.6
1882,8月10日,23.2
1882,8月11日,22
1882,8月12日,23.2
1882,8月13日,26.1
1882,8月14日,27.1
1882,8月15日,27.2
1882,8月16日,25.2
1882,8月17日,24.3
1882,8月18日,22.7
1882,8月19日,23.1
1882,8月20日,22.2
1882,8月21日,22.6
1882,8月22日,25.3
1882,8月23日,25.7
1882,8月24日,24.8
1882,8月25日,23.8
1882,8月26日,22.8
1882,8月27日,24.2
1882,8月28日,24
1882,8月29日,NaN
1882,8月30日,23.2
1882,8月31日,24.5
1882,9月1日,26.3
1882,9月2日,25.6
1882,9月3日,20.7
1882,9月4日,22.1
1882,9月5日,22.5
1882,9月6日,22.5
1882,9月7日,24.4
1882,9月8日,25.1
1882,9月9日,20.6
1882,9月10日,20.6
1882,9月11日,20.3
1882,9月12日,21.5
1882,9月13日,20
1882,9月14日,22.9
1882,9月15日,23.3
1882,9月16日,21.1
1882,9月17日,19.7
1882,9月18日,16.8
1882,9月19日,18.5
1882,9月20日,21
1882,9月21日,22.1
1882,9月22日,21.1
1882,9月23日,21.5
1882,9月24日,18.7
1882,9月25日,20.1
1882,9月26日,20
1882,9月27日,20.3
1882,9月28日,20.9
1882,9月29日,18.9
1882,9月30日,13.4
1883,6月1日,18.5
1883,6月2日,18.4
1883,6月3日,19.6
1883,6月4日,17.7
1883,6月5日,15.8
1883,6月6日,12.5
1883,6月7日,15.3
1883,6月8日,15.6
1883,6月9日,16.6
1883,6月10日,17.5
1883,6月11日,17.7
1883,6月12日,18
1883,6月13日,18.2
1883,6月14日,19.8
1883,6月15日,20.1
1883,6月16日,21.4
1883,6月17日,21.9
1883,6月18日,22.9
1883,6月19日,23.2
1883,6月20日,24.8
1883,6月21日,23.1
1883,6月22日,19.9
1883,6月23日,22.3
1883,6月24日,23.2
1883,6月25日,20.8
1883,6月26日,19.5
1883,6月27日,22.7
1883,6月28日,22.8
1883,6月29日,21.3
1883,6月30日,23.3
1883,7月1日,20.9
1883,7月2日,20.9
1883,7月3日,19.4
1883,7月4日,19.3
1883,7月5日,20.1
1883,7月6日,21.2
1883,7月7日,21.2
1883,7月8日,18.4
1883,7月9日,18.4
1883,7月10日,21.4
1883,7月11日,22.7
1883,7月12日,23.5
1883,7月13日,23
1883,7月14日,23.8
1883,7月15日,23.7
1883,7月16日,24.1
1883,7月17日,25.8
1883,7月18日,22.5
1883,7月19日,24.3
1883,7月20日,25.8
1883,7月21日,27.1
1883,7月22日,27
1883,7月23日,26.7
1883,7月24日,27.5
1883,7月25日,27.2
1883,7月26日,26.1
1883,7月27日,27
1883,7月28日,26.5
1883,7月29日,25.3
1883,7月30日,26.7
1883,7月31日,26.7
1883,8月1日,27.1
1883,8月2日,26.9
1883,8月3日,26.8
1883,8月4日,25.4
1883,8月5日,24.4
1883,8月6日,24.1
1883,8月7日,24
1883,8月8日,23.6
1883,8月9日,25.1
1883,8月10日,25.4
1883,8月11日,26.2
1883,8月12日,27.4
1883,8月13日,28.1
1883,8月14日,27.4
1883,8月15日,25.9
1883,8月16日,27
1883,8月17日,27.5
1883,8月18日,27.5
1883,8月19日,27.7
1883,8月20日,24.3
1883,8月21日,20.7
1883,8月22日,22.1
1883,8月23日,24.2
1883,8月24日,26
1883,8月25日,25.5
1883,8月26日,21.7
1883,8月27日,22.6
1883,8月28日,22.8
1883,8月29日,23.2
1883,8月30日,23.9
1883,8月31日,23.3
1883,9月1日,22.4
1883,9月2日,23.7
1883,9月3日,25
1883,9月4日,26.9
1883,9月5日,23.9
1883,9月6日,23.7
1883,9月7日,26.6
1883,9月8日,26.7
1883,9月9日,21
1883,9月10日,19.7
1883,9月11日,23.9
1883,9月12日,24.8
1883,9月13日,25
1883,9月14日,22.2
1883,9月15日,20.4
1883,9月16日,22.6
1883,9月17日,23.6
1883,9月18日,23.1
1883,9月19日,23.8
1883,9月20日,19.2
1883,9月21日,19.1
1883,9月22日,18.9
1883,9月23日,20.2
1883,9月24日,20
1883,9月25日,17.9
1883,9月26日,17.2
1883,9月27日,17.6
1883,9月28日,16.8
1883,9月29日,18.1
1883,9月30日,18.6
1884,6月1日,17.6
1884,6月2日,17.7
1884,6月3日,15.6
1884,6月4日,16.7
1884,6月5日,18.4
1884,6月6日,18.8
1884,6月7日,19.4
1884,6月8日,20.3
1884,6月9日,20.7
1884,6月10日,22.1
1884,6月11日,22.2
1884,6月12日,23.7
1884,6月13日,22.9
1884,6月14日,16.1
1884,6月15日,15.7
1884,6月16日,15.9
1884,6月17日,20.7
1884,6月18日,21.2
1884,6月19日,18.4
1884,6月20日,20.3
1884,6月21日,23.4
1884,6月22日,24.2
1884,6月23日,23.1
1884,6月24日,18.8
1884,6月25日,18
1884,6月26日,19.3
1884,6月27日,19.8
1884,6月28日,17
1884,6月29日,21.4
1884,6月30日,23.5
1884,7月1日,20.2
1884,7月2日,15.3
1884,7月3日,15
1884,7月4日,18.9
1884,7月5日,20.4
1884,7月6日,21.6
1884,7月7日,24.3
1884,7月8日,25.2
1884,7月9日,24.6
1884,7月10日,23.4
1884,7月11日,24.4
1884,7月12日,25.6
1884,7月13日,23.7
1884,7月14日,24.3
1884,7月15日,23.2
1884,7月16日,24.1
1884,7月17日,22
1884,7月18日,24.2
1884,7月19日,23.3
1884,7月20日,23.6
1884,7月21日,26.1
1884,7月22日,23.7
1884,7月23日,23.8
1884,7月24日,24.3
1884,7月25日,25.3
1884,7月26日,26.2
1884,7月27日,26.2
1884,7月28日,26.3
1884,7月29日,26
1884,7月30日,25.7
1884,7月31日,26
1884,8月1日,26.3
1884,8月2日,25.7
1884,8月3日,26.5
1884,8月4日,25.8
1884,8月5日,25.1
1884,8月6日,22.7
1884,8月7日,22.1
1884,8月8日,25.3
1884,8月9日,24.4
1884,8月10日,24.2
1884,8月11日,25.2
1884,8月12日,24.3
1884,8月13日,22.6
1884,8月14日,26.2
1884,8月15日,24.2
1884,8月16日,24.3
1884,8月17日,22.6
1884,8月18日,19.2
1884,8月19日,22.5
1884,8月20日,21.9
1884,8月21日,26
1884,8月22日,26.4
1884,8月23日,25.6
1884,8月24日,25.1
1884,8月25日,26.2
1884,8月26日,25.8
1884,8月27日,22.9
1884,8月28日,20.7
1884,8月29日,20.6
1884,8月30日,21.7
1884,8月31日,23.5
1884,9月1日,25
1884,9月2日,22.7
1884,9月3日,23.7
1884,9月4日,22.9
1884,9月5日,24.7
1884,9月6日,23.5
1884,9月7日,21.4
1884,9月8日,20.7
1884,9月9日,21.4
1884,9月10日,23.2
1884,9月11日,23.7
1884,9月12日,23.7
1884,9月13日,21.8
1884,9月14日,24.5
1884,9月15日,24.1
1884,9月16日,26.7
1884,9月17日,21.8
1884,9月18日,22.8
1884,9月19日,20.9
1884,9月20日,22.3
1884,9月21日,21.5
1884,9月22日,22.8
1884,9月23日,18.5
1884,9月24日,18.9
1884,9月25日,18
1884,9月26日,20.5
1884,9月27日,23
1884,9月28日,21.7
1884,9月29日,21.3
1884,9月30日,21.3
1885,6月1日,19.4
1885,6月2日,17.9
1885,6月3日,17.8
1885,6月4日,20.3
1885,6月5日,17.7
1885,6月6日,17.9
1885,6月7日,19.2
1885,6月8日,16.9
1885,6月9日,17.6
1885,6月10日,20.8
1885,6月11日,21.7
1885,6月12日,19.5
1885,6月13日,21.7
1885,6月14日,22.4
1885,6月15日,21.3
1885,6月16日,21.2
1885,6月17日,20.2
1885,6月18日,19.1
1885,6月19日,20.3
1885,6月20日,21.2
1885,6月21日,25.7
1885,6月22日,24.4
1885,6月23日,21.2
1885,6月24日,22.5
1885,6月25日,21.1
1885,6月26日,20.1
1885,6月27日,22.8
1885,6月28日,21.5
1885,6月29日,18.7
1885,6月30日,17.2
1885,7月1日,19.5
1885,7月2日,21.4
1885,7月3日,21.6
1885,7月4日,22
1885,7月5日,19.1
1885,7月6日,17.7
1885,7月7日,18.1
1885,7月8日,19.9
1885,7月9日,21
1885,7月10日,20.1
1885,7月11日,21.4
1885,7月12日,23.5
1885,7月13日,24.1
1885,7月14日,22
1885,7月15日,22.7
1885,7月16日,23
1885,7月17日,24.2
1885,7月18日,24
1885,7月19日,23.7
1885,7月20日,24.9
1885,7月21日,25.9
1885,7月22日,25.7
1885,7月23日,22.8
1885,7月24日,25.6
1885,7月25日,25.1
1885,7月26日,26.1
1885,7月27日,26.5
1885,7月28日,26.5
1885,7月29日,26.6
1885,7月30日,25.9
1885,7月31日,24.7
1885,8月1日,25.8
1885,8月2日,26.2
1885,8月3日,25.7
1885,8月4日,24.2
1885,8月5日,25.5
1885,8月6日,25.9
1885,8月7日,26.1
1885,8月8日,26.2
1885,8月9日,25.9
1885,8月10日,25.6
1885,8月11日,25.8
1885,8月12日,25.2
1885,8月13日,25.8
1885,8月14日,25.8
1885,8月15日,24.2
1885,8月16日,25.8
1885,8月17日,25.7
1885,8月18日,26.8
1885,8月19日,22.2
1885,8月20日,20.2
